	File Name	String Number	Words Occuring	Sentence Before	Sentence	Sentence After	Important
30893	Jahrbuch_BauwerksbegrÃ¼nung_2015.txt	752	recht regelung	Aufgrund dieser Rechtsvorschriften ist von zwei Anwendungsbereichen auszugehen:	· der naturschutzrechtlichen Eingriffsregelung und · der Eingriffsregelung in der Bauleitplanung.	Ob, in welchem Umfang und in welcher Art und Weise Dächer als Ausgleichs- oder Ersatzmaßnahme zu begrünen sind, hängt demzufolge vom rechtlichen Verfahren, von der Bewertung zu Art und Umfang des Eingriffs, der damit ermittelten Eingriffserheblichkeit mit der daraus resultierenden Verpflichtung zur Kompensation ab.	1
33518	Jahrbuch_BauwerksbegrÃ¼nung_2016.txt	387	recht	Der Bodenaufbau in der Pflanzwanne setzte sich aus einem Schutzvlies, 4 cm Drainageschicht aus Blähschiefer, einem Filtervlies und 16 cm Intensivsubstrat zusammen.	Bewässert wurde bedarfsgerecht über einen Tropfschlauch.	Nach Messung der Schattenwirkung der PV-Überdachung mittels hemisphärischer Fotografie wurde die Versuchsfläche in 3 Lichtzonen (Lichtzone 1: Randzone mit mäßiger Beschattung	0
882	DDV-Kommunale-Gruendach-Strategien-2016.txt	636	gesetz	Maximal die Hälfte der Fertigstellungskosten zur Entsiegelung von Höfen sowie zur Gestaltung und zur Begrünung von Höfen, Dächern und Fassaden bis zu 10.000 Euro kann gefördert werden.	Die ersten Maßnahmen wurden bereits umgesetzt.	Im Rahmen der zur	1
31475	Jahrbuch_BauwerksbegrÃ¼nung_2015.txt	1164	satzung	Alles was zum Thema Bauwerksbegrünung angeboten wird, gibt es dort zu finden.	-- Bereitstellung verschiedener Praxisbeispiele von B-Plänen, Abwassersatzungen, Förderprogrammen.	Err:509	1
17921	GebÃ¤udeGrÃ¼n_04_2017.txt	66	vorgabe	"Retentionsdächer werden in Deutschland immer häufiger umgesetzt wie hier das aktuelle Beispiel der Tiefgaragenbegrünung ,,Wohnen am Wasserturm"" in Berlin zeigt."	Oftmals können nur so die Vorgaben zur einleitbeschränkung erfüllt werden.	landschaftsarchitekten: Topos-landschaftsplanung Architekten: Büro Van den Valentyn und KWP-Architektenlesen Sie mehr zur Systemlösung Retentionsdach Drossel auf den Seiten 34/35.	1
30890	Jahrbuch_BauwerksbegrÃ¼nung_2015.txt	751	gesetz regelung vorgabe	Dabei steht ihnen eine große Bandbreite an Möglichkeiten für die Auswahl der Ausgleichsflächen zur Verfügung.	Die gesetzlichen Regelungen basieren auf den Vorgaben des Bundesnaturschutzgesetzes (BNatSchG) und des Baugesetzbuches (BauGB).	Ergänzt werden diese Vorschriften vielfach durch die Verfahrensregelungen der jeweiligen Landesnaturschutzgesetze und landesspezifische Bewertungsverfahren.	1
20073	GebÃ¤udeGrÃ¼n_04_2018.txt	207	gesetz	BILDQUELLE: OPTIGRÜN	Der gestalterischen Vielfalt sind somit kaum Grenzen gesetzt, sodass bis hin zu anspruchsvollen Beet-Anlagen in Urban FarmingProjekten nahezu jede Form von Grün Einzug in unsere Städte halten kann.	rausforderungen dar, denen sie sich schon heute gegenübersehen, und die sich in der Zukunft zu ernsthaften Problemen entwickeln können: Städte benötigen sehr viel Platz, um wachsen zu können, wodurch weite Flächen dauerhaft versiegelt werden.	0
34736	Jahrbuch_BauwerksbegrÃ¼nung_2016.txt	1162	verbindlich	Abb.	3: Verbindliche Festlegung von Dachbegrünungen in den Bebauungsplä- Abb.	4: Verbindliche Festlegung von Fassadenbegrünungen in den Bebauungs-	1
24161	GebäudeGrün_01_2018.txt	114	recht	Wolfgang Dickhaut und Dipl.-Geoökol.	Michael Richter, Fachgebiet umweltgerechte Stadt- und Infrastrukturplanung, HafenCity universität Hamburg	Die ökologischen Verluste müssen ­ sofern planungsrechtlich eine Ausgleichspflicht besteht ­ im Rahmen der eingriffsregelung ausgeglichen werden.	0
5347	DDV-Magazin-Gruendach-Aktuell-1-2018.txt	345	recht	Eine völlig neue Regelung zugunsten der Bauunternehmer hat der Gesetzgeber mit der Zustandsfeststellung geschaffen.	Immer dann, wenn der Besteller zu Recht die Abnahme verweigert oder den Bauvertrag kündigt kann der Bauunternehmer zukünftig eine Zustandsfeststellung verlangen.	Beide Parteien müssen den Zustand der Baustelle und der vom Bauunternehmer erbrachten Bauleistungen in einem schriftlichen Protokoll festhalten.	1
16448	GebÃ¤udeGrÃ¼n_03_2018.txt	521	förderung	14 GebäudeGrün 3/2018	Förderung Gebäudegrün	QUELLE: STADT FRANKFURT AM MAIN, UMWELTAMT QUELLE: STADT FRANKFURT AM MAIN, UMWELTAMT	0
1870	DDV-Leitfaden-Kommune-Auflage-2-2012.txt	411	regelung	Ziel ist es, den ursprünglichen Zustand des Naturhaushaltes und des Landschaftbildes im Rahmen eines vorbeugenden und dem Verursacherprinzip verpflichteten planerischen Ansatzes möglichst zu erhalten.	Die Berücksichtigung der Eingriffsregelung in der Bauleitplanung stellt sich wie folgt dar:	· Schritt 1: Prüfung, ob ein ausgleichspflichtiger Eingriff vorliegt (Erfassung des Zustandes der Natur und Landschaft inklusive einer Bewertung / Darstellung möglicher Auswirkungen des geplanten Vorhabens)	1
19995	GebÃ¤udeGrÃ¼n_04_2018.txt	126	gericht	"Mit dem Neubau des Bundesministerium für Bildung und Forschung (BMBF) und dem Haus 2019, einem Bürogebäude des Umweltbundesamtes konnten in Berlin zwei Gebäude realisiert werden, die beide eine BNB-Zertifizierung im Goldstandard als Büro- und Verwaltungsgebäude erhalten haben (siehe ,,Gebäude Grün"" 3-2017)."	Das Bundesverfassungsgericht in Karlsruhe wurde als erstes Bundesbauprojekt mit dem BNB-Modul Büro-und Verwaltungsgebäude, Komplettmodernisierung nachbewertet und erreichte dabei den Silber-Standard.	Für die	0
38666	Jahrbuch_BauwerksbegrÃ¼nung_2017.txt	1279	förderung	·neue Gebäude · Sozialbaueigentümer · Der Stadtentwicklungsplan von Paris 2016 ermutigt die Begrünung unter allen ihren Formen (2014, Einführung des Biotopfaktors, 2016 Verpflichtung jeden Daches > 100 m ² zu begrünen)	In Halb-Strecke des 100 Hektaren Programms  wird sich der Vortrag bemühen, den Aufbau, den Beförderungszustand und die zukünftigen Absichten zu detaillieren.	"Außerdem   wird ein Bestandsaufnahme gemacht über die Auswirkung des ,,Biodiversitätgesetzes"" auf der nationalen Ebene, betreffend die Gewerbegebäuden."	1
2364	DDV-Leitfaden-Kommune-Auflage-2-2012.txt	710	gesetz satzung	Wirkungsbereich: · flächendeckend	Gesetzliche Grundlagen: · Lokale Abwassersatzungen · Kommunales Abgabengesetz · Grundsatzurteile u. a. OVG Münster 2007 (NRW), VGH Kassel 2009 (Hessen), VGH Mannheim 2010 (Baden-Württemberg)	Aufgrund der aktuellen Rechtsprechung ist die gesplittete Abwassergebühr mittlerweile zum Standard bei der verursachergerechten Berechnung der Kosten für die Schmutzund Niederschlagswasserbeseitigung geworden.	1
11002	GebÃ¤udeGrÃ¼n_01_2019.txt	825	förderung	Soll der Pflegeaufwand weiterhin gering gehalten werden, sollte eine zusätzliche Bewässerung über Tropfschläuche nur in Hitze- und Trockenperioden eingesetzt werden.	Eine Trockenphase im Sommer kann jedoch auch zur Förderung der hitze- und trockenheitsresistenten Pflanzen durch abschalten der Bewässerung genutzt werden.	Der Einbau von Retentionsköpern mit kapillarem Aufstieg und Wasseranstau kann die tägliche Verdunstungsleistung über einen langen Zeitraum auf einem hohen Niveau halten und mögliche Trockenphasen besser überbrücken (vgl.	0
365	DDV-Kommunale-Gruendach-Strategien-2016.txt	210	kataster	Gebäudedaten Als zweiter Datensatz für die Inventarisierung und Potenzialanalyse von Dachbegrünung werden die Hausumringe (Gebäudeumrisse, Gebäude-Polygone) der betrachteten Städte oder Kommunen benötigt (z.	B. aus dem amtlichen Liegenschaftskatasterinformationssystem ALKIS).	Die Hausumringe werden zur Abgrenzung der Dachflächen in den Luftbildaufnahmen verwendet.	1
26193	Jahrbuch_BauwerksbegrÃ¼nung_2014.txt	13	recht	2	Alle Rechte vorbehalten.	Nachdruck, auch in Auszügen, nur mit ausdrücklicher Genehmigung des Herausgebers und Angabe der Quelle.	0
20842	GebÃ¤udeGrÃ¼n_04_2018.txt	816	recht	und Konturdeckung (canopy-coverage) (KNAPP, 1984, 79).	Die reale Deckung meint dabei die senkrechte Projektion von oben auf die Vegetation, wobei kleine Lücken innerhalb der Pflanze nicht zur Deckung zählen.	Die Konturdeckung hingegen verbindet in der senkrechten Projektion die Konturen der Pflanze zu einer zusammenhängenden Fläche und ist damit etwas größer als die reale Deckung (Abb.	0
1954	DDV-Leitfaden-Kommune-Auflage-2-2012.txt	455	vorgabe	· Angaben zum anvisierten Regenwasserrückhalt (Abflussbeiwert) der Dachbegrünung	· Vorgabe der Kontrollmechanismen für die Umsetzungen der Festsetzungen und die dauerhafte Erhaltung des Gründachs	(Pflege und Dokumentation des Begrünungserfolgs) kann der zusätzliche Aufwand gering gehalten werden.	0
10454	GebÃ¤udeGrÃ¼n_01_2019.txt	361	gesetz verordnung	Deshalb wurde eine Dachfläche von knapp 3.800 Quadratmetern extensiv begrünt.	Mit kombinierter Muldenversickerung des Regenwassers wird hierbei ein nachhaltiges Regenwassermanagement umgesetzt, das der Berliner Verordnung zum Umgang mit Niederschlagswasser entspricht: Die Dachbegrünung nimmt einen Großteil der Niederschläge auf, das überschüssige Wasser wird dagegen in Sickermulden abgeleitet, die rund um das Gebäude angeordnet sind, und das Regenwasser wiederum an die anliegenden Pflanzen und den Rasen abgeben.	",,So entsteht ein geschlossener Wasserkreislauf"", erklärt Eberhard Wimmer."	1
2443	DDV-Leitfaden-Kommune-Auflage-2-2012.txt	761	gebühr	· Eine Abstimmung mit den ökologischen Zielen und Qualitätskriterien der anderen Förderinstrumente sollte unbedingt vorgenommen werden, um so auch stadtökologische Funktionen (Flora, Fauna, Landschaftsbild) mit berücksichtigen zu können.	· Gestaltung der Gebührenreduktion: Aus Praktikabilitätsgründen sollte die Anzahl und der Differenzierungsgrad der Gebührenreduktion überschaubar gehalten werden.	Aufgrund der Siedlungsentwicklung in den letzten Jahrzehnten lässt sich kaum noch eine Kommune finden, auf die die Kombination beider Argumente zutrifft.	1
17570	GebÃ¤udeGrÃ¼n_03_2018.txt	1669	steuer	Externe Sensoren (bis zu 128 Ein- und Ausgänge), die zum Beispiel Daten zu Bodenfeuchte und Regenhäufigkeit liefern, kann die Steuerung in die Bewässerungsanlage einbinden.	Äußere Einflüsse fließen dadurch gezielt in die Beregnungs- oder Lichtsteuerung ein.	zeit überwacht, ausgewertet und bei Bedarf angepasst werden.	0
34691	Jahrbuch_BauwerksbegrÃ¼nung_2016.txt	1124	verbindlich	Gibt es in Ihrer Kommune Bebauungspläne, die Fassaden	begrünungen verbindlich festlegen?	10.	1
4117	DDV-Leitfaden-Sicherer-Gewerkeuebergang-Auflage-2-2008.txt	565	recht	Err:509	- an den senkrechten Bereichen der An- und Abschlüsse auf eine ausreichende Aufklebung, Verschweißung oder mechanische Befestigung geachtet?	- mehrteilige Profile verwendet, die ein Abrutschen und Hinterlaufen der Dachabdichtung verhindern?	0
5521	DDV-Magazin-Gruendach-Aktuell-1-2018.txt	455	satzung	September 2017 offiziell in Kraft gesetzt wurde.	Mit der neuen Satzung reagiert die Stadt darauf, dass immer neue Flächen im Stadtgebiet bebaut und damit versiegelt werden.	Dazu gehören vor allem Parkplätze oder auch Lagerplätze von Gewerbebetrieben, die in früheren Jahren ohne Bäume oder auch Sträucher errichtet werden konnten.	1
